,packing_fraction
0,0.10000587287086427
1,0.10002801288016308
2,0.10004069756116493
3,0.10004195544073621
4,0.10005987319137483
5,0.10007183975187879
6,0.10009784486302345
7,0.10013636023741386
8,0.10016032085503036
9,0.1001756752275632
10,0.10019086360890492
11,0.10020438365856743
12,0.10021849211897241
13,0.10023869756912407
14,0.10024777968568335
15,0.10026315708947073
16,0.10029874345881346
17,0.10032255610991761
18,0.1003280192397756
19,0.10033987088145553
20,0.1003518475163014
21,0.10035916424825286
22,0.10036684307715568
23,0.1003883845193518
24,0.10041980039980483
25,0.10044456777172897
26,0.10045450938863257
27,0.100463574101857
28,0.1004743599448214
29,0.10049847186722219
30,0.10053736165556584
31,0.10055125841472952
32,0.10059167425096521
33,0.10058637017385902
34,0.1006224092331309
35,0.10062990558045806
36,0.1006378774431963
37,0.10063686105843352
38,0.10063973543714405
39,0.1006399923503506
40,0.10064027443723561
41,0.10064028008752697
42,0.10064259640510616
43,0.10063915033109158
44,0.10064277982576172
45,0.10064299305819925
46,0.10064349188364528
47,0.10064358399751334
48,0.10064433636300145
49,0.10064434883272386
50,0.10064436239044126
51,0.10064437306104575
52,0.10064435293317399
53,0.10064425793194974
54,0.10064338052708946
55,0.10064427821751534
56,0.10064432717390068
57,0.10064437739051497
58,0.10064434093973135
59,0.10064431093404978
60,0.10064440334901867
61,0.10064441383117585
62,0.10064441441738425
63,0.10064441744504433
64,0.1006444272271314
65,0.10064442781779791
66,0.10064443077666602
67,0.10064443459671688
68,0.10064443695021905
69,0.10064654165204373
70,0.10064711741379796
71,0.10064717435621569
72,0.10064718846145584
73,0.10064719515118394
74,0.1006471990726955
75,0.10064719987973422
76,0.10064726037390102
77,0.10064728751506816
78,0.10064729355639132
79,0.10064699248000267
80,0.10064748745691668
81,0.10064758596722075
82,0.100648548642328
83,0.1006488683520134
84,0.10064881904739086
85,0.10064893043972437
86,0.10064893906860857
87,0.10064893056781817
88,0.10064896959499507
89,0.10064901543430643
90,0.10064898740865327
91,0.1006489669739135
92,0.1006489893533378
93,0.10064900511001483
94,0.10064697063362589
95,0.10064768493500233
96,0.10064833099315773
97,0.10064897197286082
98,0.10064923881521631
99,0.1006493473674468
100,0.1006494834429732
101,0.100650907825876
102,0.10065274795475264
103,0.10065278954781452
104,0.10065293902826973
105,0.10065451583937424
106,0.1006560326142074
107,0.10065722545090007
108,0.10065847131997611
109,0.10065908797672735
110,0.10065859505817612
111,0.1006585454995716
112,0.10065845985941328
113,0.10065812182587591
114,0.10065834788242455
115,0.10065954327256883
116,0.1006601067287234
117,0.10066022219826552
118,0.10066024067123693
119,0.10066024289976089
120,0.10066025017657328
121,0.100660154963865
122,0.10066008554067477
123,0.1006605223988003
124,0.10066173142357306
125,0.10066290187428582
126,0.10066321902586615
127,0.10066653979409362
128,0.10066716708983332
129,0.10066723261973581
130,0.1006672747483644
131,0.10066729500599662
132,0.10066730244375743
133,0.10066798041220316
134,0.10066852310910096
135,0.10066859094991618
136,0.1006690006329343
137,0.10066895773482464
138,0.10066901956427804
139,0.10066902925931324
140,0.10066905966130198
141,0.10066906544357276
142,0.10066906668502475
143,0.10066908740220422
144,0.1006663016746412
145,0.1006697993883226
146,0.10067919201790548
147,0.10068542546809327
148,0.10068550224758488
149,0.10068561307713461
150,0.10068578585296926
151,0.10068773226779984
152,0.10068862305368113
153,0.10068115049925642
154,0.10068147775339915
155,0.10068351000096512
156,0.10068495962913557
157,0.10068843963337433
158,0.10069191421480211
159,0.10069321435409269
160,0.10068962978518727
161,0.1006879379694085
162,0.10069185814909978
163,0.1006922529194823
164,0.10069369714286583
165,0.10069585846081583
166,0.10069555243816217
167,0.10069629983268241
168,0.10069663779203049
169,0.10069671203766661
170,0.10069262424071501
171,0.10069374396444404
172,0.10068756772048743
173,0.1006924429812394
174,0.10069329370294104
175,0.10069764712147189
176,0.10069807373103802
177,0.10069823699907171
178,0.10069871596832107
179,0.10069862898368467
180,0.10069565452814405
181,0.10069543285223793
182,0.10069863062830862
183,0.10070452280346176
184,0.10070411212490028
185,0.10070440203565979
186,0.10070532521751953
187,0.10070618300248392
188,0.10070619461852194
189,0.10070620199791214
190,0.10070626896272641
191,0.10070628425943143
192,0.1007062891955546
193,0.10070586944200549
194,0.10070713844843278
195,0.10070725734238914
196,0.10070732498286653
197,0.10070752738700194
198,0.10070804101461102
199,0.1007080870531601
200,0.10070809449071275
201,0.10070810878852024
202,0.1007084943439263
203,0.1007084889988074
204,0.10070853224512272
205,0.10070901219256762
206,0.1007090388831173
207,0.10070630872182541
208,0.10070703713006701
209,0.10070688115759413
210,0.10070818974327121
211,0.10070817563850716
212,0.1007082249427884
213,0.1007082496561869
214,0.10071380269557698
215,0.10071393215307174
216,0.10071246798477959
217,0.10071321007282277
218,0.10070889067995772
219,0.10071064575192194
220,0.10071290190107586
221,0.10071139946303566
222,0.10071343190021169
223,0.10071549099319364
224,0.10071690043249713
225,0.10071711153525108
226,0.1007172178555334
227,0.1007172142502248
228,0.10071724097334434
229,0.10071726468167727
230,0.10071752488295817
231,0.10071751868705889
232,0.10071752747623534
233,0.10071754514651357
234,0.10071753238931029
235,0.10071753024268994
